08/10/2022 15:43:36 Cash input 0.00 3.00 
08/10/2022 15:43:36 Cash input 3.00 6.00 
08/10/2022 15:43:36 Cash input 6.00 7.00 
08/10/2022 15:43:36 Item purchase 7.00 7.00 
08/10/2022 15:47:20 Cash input 0.00 7.00 
08/10/2022 15:47:20 Cash input 7.00 10.00 
08/10/2022 15:47:20 Item purchase 10.00 10.00 
08/10/2022 15:47:20 Item purchase 10.00 10.00 
08/10/2022 15:48:58 Cash input 0.00 5.00 
08/10/2022 15:48:58 Item purchase 5.00 2.75 
08/10/2022 15:48:58 Item purchase 2.75 1.25 
09/10/2022 13:10:02 Cash input 0.00 5.00 
09/10/2022 13:10:02 Item purchase 5.00 2.75 
09/10/2022 13:16:52 Cash input 0.00 3.00 
09/10/2022 13:16:52 Item purchase 3.00 2.25 
09/10/2022 13:22:19 Cash input 0.00 10.00 
09/10/2022 13:22:19 Item purchase 10.00 9.25 
09/10/2022 13:22:19 Item purchase 9.25 8.50 
09/10/2022 13:22:19 Item purchase 8.50 7.75 
09/10/2022 13:22:19 Item purchase 7.75 7.00 
09/10/2022 13:22:19 Item purchase 7.00 6.25 
09/10/2022 13:22:19 Item purchase 6.25 5.50 
09/10/2022 13:27:54 Cash input 0.00 3.00 
09/10/2022 13:27:54 Item purchase 3.00 2.25 
09/10/2022 13:27:54 Item purchase 2.25 1.50 
09/10/2022 13:27:54 Item purchase 1.50 0.75 
09/10/2022 13:27:54 Cash input 0.75 3.75 
09/10/2022 13:27:54 Item purchase 3.75 3.00 
09/10/2022 13:27:54 Item purchase 3.00 2.25 
09/10/2022 13:27:54 Item purchase 2.25 2.25 
09/10/2022 13:27:54 Item purchase 2.25 2.25 
09/10/2022 20:59:04 | Cash input | PreBalance: %s | PostBalance: $6.99 
09/10/2022 20:59:04 | Cash input | PreBalance: %s | PostBalance: $6.51 
10/10/2022 09:39:22 | Cash input | PreBalance: %s | PostBalance: $6.00 
10/10/2022 09:39:22 | Potato Crisps | PreBalance: %s | PostBalance: $3.05 
10/10/2022 09:39:22 | Stackers | PreBalance: %s | PostBalance: $1.45 
10/10/2022 09:39:22 | Grain Waves | PreBalance: %s | PostBalance: $2.75 
10/10/2022 09:39:22 | Cloud Popcorn | PreBalance: %s | PostBalance: $3.65 
10/10/2022 09:39:22 | Moonpie | PreBalance: %s | PostBalance: $1.80 
10/10/2022 09:39:22 | Cowtales | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:39:22 | Wonka Bar | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:39:22 | Crunchie | PreBalance: %s | PostBalance: $1.75 
10/10/2022 09:39:22 | Cola | PreBalance: %s | PostBalance: $1.25 
10/10/2022 09:39:22 | Dr. Salt | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:39:22 | Mountain Melter | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:39:22 | Heavy | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:39:22 | U-Chews | PreBalance: %s | PostBalance: $0.85 
10/10/2022 09:39:22 | Little League Chew | PreBalance: %s | PostBalance: $0.95 
10/10/2022 09:39:22 | Chiclets | PreBalance: %s | PostBalance: $0.75 
10/10/2022 09:39:22 | Triplemint | PreBalance: %s | PostBalance: $0.75 
10/10/2022 09:39:22 | Cashed out | PreBalance: %s | PostBalance: $4.50 
10/10/2022 09:40:57 | Cash input | PreBalance: %s | PostBalance: $6.00 
10/10/2022 09:40:57 | Potato Crisps | PreBalance: %s | PostBalance: $3.05 
10/10/2022 09:40:57 | Stackers | PreBalance: %s | PostBalance: $1.45 
10/10/2022 09:40:57 | Grain Waves | PreBalance: %s | PostBalance: $2.75 
10/10/2022 09:40:57 | Cloud Popcorn | PreBalance: %s | PostBalance: $3.65 
10/10/2022 09:40:57 | Moonpie | PreBalance: %s | PostBalance: $1.80 
10/10/2022 09:40:57 | Cowtales | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:40:57 | Wonka Bar | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:40:57 | Crunchie | PreBalance: %s | PostBalance: $1.75 
10/10/2022 09:40:57 | Cola | PreBalance: %s | PostBalance: $1.25 
10/10/2022 09:40:57 | Dr. Salt | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:40:57 | Mountain Melter | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:40:57 | Heavy | PreBalance: %s | PostBalance: $1.50 
10/10/2022 09:40:57 | U-Chews | PreBalance: %s | PostBalance: $0.85 
10/10/2022 09:40:57 | Little League Chew | PreBalance: %s | PostBalance: $0.95 
10/10/2022 09:40:57 | Chiclets | PreBalance: %s | PostBalance: $0.75 
10/10/2022 09:40:57 | Triplemint | PreBalance: %s | PostBalance: $0.75 
10/10/2022 09:40:57 | Cashed out | PreBalance: %s | PostBalance: $4.50 
10/10/2022 18:50:38 | Cash input | PreBalance: %s | PostBalance: $3.00 
10/10/2022 18:50:38 | Potato Crisps | PreBalance: %s | PostBalance: $3.05 
10/10/2022 18:50:38 | Stackers | PreBalance: %s | PostBalance: $1.45 
10/10/2022 18:50:38 | Grain Waves | PreBalance: %s | PostBalance: $2.75 
10/10/2022 18:50:38 | Cloud Popcorn | PreBalance: %s | PostBalance: $3.65 
10/10/2022 18:50:38 | Moonpie | PreBalance: %s | PostBalance: $1.80 
10/10/2022 18:50:38 | Cowtales | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:50:38 | Wonka Bar | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:50:38 | Crunchie | PreBalance: %s | PostBalance: $1.75 
10/10/2022 18:50:38 | Cola | PreBalance: %s | PostBalance: $1.25 
10/10/2022 18:50:38 | Dr. Salt | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:50:38 | Mountain Melter | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:50:38 | Heavy | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:50:38 | U-Chews | PreBalance: %s | PostBalance: $0.85 
10/10/2022 18:50:38 | Little League Chew | PreBalance: %s | PostBalance: $0.95 
10/10/2022 18:50:38 | Chiclets | PreBalance: %s | PostBalance: $0.75 
10/10/2022 18:50:38 | Triplemint | PreBalance: %s | PostBalance: $0.75 
10/10/2022 18:50:38 | Cashed out | PreBalance: %s | PostBalance: $2.25 
10/10/2022 18:51:10 | Cash input | PreBalance: %s | PostBalance: $5.00 
10/10/2022 18:51:10 | Potato Crisps | PreBalance: %s | PostBalance: $3.05 
10/10/2022 18:51:10 | Stackers | PreBalance: %s | PostBalance: $1.45 
10/10/2022 18:51:10 | Grain Waves | PreBalance: %s | PostBalance: $2.75 
10/10/2022 18:51:10 | Cloud Popcorn | PreBalance: %s | PostBalance: $3.65 
10/10/2022 18:51:10 | Moonpie | PreBalance: %s | PostBalance: $1.80 
10/10/2022 18:51:10 | Cowtales | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:51:10 | Wonka Bar | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:51:10 | Crunchie | PreBalance: %s | PostBalance: $1.75 
10/10/2022 18:51:10 | Cola | PreBalance: %s | PostBalance: $1.25 
10/10/2022 18:51:10 | Dr. Salt | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:51:10 | Mountain Melter | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:51:10 | Heavy | PreBalance: %s | PostBalance: $1.50 
10/10/2022 18:51:10 | U-Chews | PreBalance: %s | PostBalance: $0.85 
10/10/2022 18:51:10 | Little League Chew | PreBalance: %s | PostBalance: $0.95 
10/10/2022 18:51:10 | Chiclets | PreBalance: %s | PostBalance: $0.75 
10/10/2022 18:51:10 | Triplemint | PreBalance: %s | PostBalance: $0.75 
10/10/2022 18:51:10 | Cashed out | PreBalance: %s | PostBalance: $4.25 
10/10/2022 19:04:45 | Cash input | PreBalance: $5.00 | PostBalance: $5.00 
10/10/2022 19:04:45 | Potato Crisps | PreBalance: $3.05 | PostBalance: $5.00 
10/10/2022 19:04:45 | Stackers | PreBalance: $1.45 | PostBalance: $5.00 
10/10/2022 19:04:45 | Grain Waves | PreBalance: $2.75 | PostBalance: $5.00 
